ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
MD11,MD11 F,CF6-80C2D1F,3,MD11,,J,2GE049
MD81,MD81,JT8D-217C,2,MD82,MD808120,J,4PW070
MD82,MD82,JT8D-217C,2,MD82,MD808221,J,4PW070
MD83,MD83,JT8D-219,2,MD83,MD808321,J,4PW071
MD87,MD87,JT8D-217C,2,MD82,MD808720,J,4PW070
MD88,MD88,JT8D-219,2,MD82,MD808821,J,4PW071
MD90,MD90 30,V2525-D5,2,MD83,,J,1IA002
MRJ9,MRJ 90 STD,PW1217G,2,A148,,J,01P22PW169
MS76,MS760 PARIS II,MARBORE VI-C2,2,EA50,,J,BIZLIGHTJET_F
MU2,MU 2B 26 MU 2M,TPE331-6-251M,2,MU2,,T,TPE331-6
MU30,MU300 1,JT15D-4,2,BE40,,J,1PW036
N262,N262A 32,BASTAN VII,2,JS41,,T,BIZHEAVYPROP_F
NOMA,N24A,250-B17C,2,BE99,,T,BIZLIGHTPROP_F
P06T,P2006T,912S3,2,P06T,,P,Rotax 912S
P180,P180 AVANTI II,PT6A-66B,2,P180,,T,PT6A-66
P2,P2V 5 P 2E NEPTUNE,R-3350-32WA,2,F27,,T,Prop>500hp
P212,P2012 TRAVELLER,TEO 540C1A,2,C310,,P,TIO-540-J2B2
P3,P 3C II ORION,T56-A,4,AN12,,T,T56-A-14
P337,CESSNA P337G,TSIO-360-C,2,BE76,,P,TSIO-360C
P46T,PA 46 500TP,PT6A-42A,1,P46T,,T,PT6A-42
P68,P68C,IO-360-A1B6,2,BE76,,P,IO-360-A1B6
P68T,AP68TP 600,250-B17C,2,K100,,T,BIZLIGHTPROP_F
P750,PAC750,PT6A-34,1,P750,,T,PT6A-34
